public_sku,manufacturer_mpn,manufacturer,category,title,source_class,source_domain,response_status,http_status,content_type,pixel_width,pixel_height,file_size_bytes,duplicate_url_group,near_duplicate_url_group,duplicate_content_group,match_status,match_confidence,rights_status,approved_public_image_count,storefront_image_status,review_status,notes
52703,52703,Clarity,Telephone Equipment,Expandable Handset,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,203783,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
53712,53712,Clarity,Telephone Equipment,Amp Cordless Phone W/dig Answr,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,204280,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
53714,53714,Clarity,Telephone Equipment,D714 40DB Ampd Cordless Phone,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,205881,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
54505.001,54505.001,Clarity,Telephone Equipment,Alto Plus Amp Corded Phone,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,283999,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
59865.001,59865.001,Clarity,Telephone Equipment,XLC8 DECT 6.0 50 dB Amplified Cordless Phone System,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,151003,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
59234.001,59234.001,Clarity,Telephone Equipment,DECT 6.0 50 dB Amplified Cordless Phone with Big Buttons,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,156954,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
CP1500AVRLCD3,CP1500AVRLCD3,Cyberpower,Network Cabling & Connectors,Intelligent Lcd Ups,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,138029,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
45-0001-UWH,45-0001-UWH,Datacomm Electronics,"Terminals, Jacks & Wall Plates",Uwhite 1 Gang Recessed,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,69401,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
50-3321-WH-KIT,50-3321-WH-KIT,Datacomm Electronics,"Terminals, Jacks & Wall Plates",Flat Panel Cable Org Rem Kit,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,28542,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
50-3323-WH-KIT,50-3323-WH-KIT,Datacomm Electronics,Cable Management,Recessed Pair Power Kit,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,25349,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
50-6623-WH-KIT,50-6623-WH-KIT,Datacomm Electronics,"Terminals, Jacks & Wall Plates",Flat Panel Cable Org Dup Power,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,204755,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
500256,500256,Eagle Aspen,Antennas & RF,25 Db Distribution Amp,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,214441,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
DTV2BUHF,DTV2BUHF,Eagle Aspen,Antennas & RF,2-BAY UHF Outdoor Antenna,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,160733,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
500302,500302,Eagle Aspen,Antennas & RF,2-WAY 1000 MHz Splitter,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,218763,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
500303,500303,Eagle Aspen,Antennas & RF,3WAY All Port Power Splittr,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,208773,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
500308,500308,Eagle Aspen,Network Cabling & Connectors,2-WAY Splitter,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,235250,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
500312,500312,Eagle Aspen,Network Cabling & Connectors,4-WAY Splitter,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,220129,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
EIS3-1004-WHT,EIS3-1004-WHT,Energizer Connect,Network Equipment,6OT Smart Surge Protector,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,139388,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
AS-HP-5R,AS-HP-5R,Helios,Network Equipment,5OUT 2USB Surge Wall Tap,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,22503,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
CS-1X4HDMSPL5,CS-1X4HDMSPL5,Ethereal,Network Cabling & Connectors,1IN/4OUT HDMI Splitter,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,29542,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
CS-C5DE,CS-C5DE,Ethereal,Network Cabling & Connectors,CAT5/6 Digital Aud Extension,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,39958,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
CS-DAC2,CS-DAC2,Ethereal,Network Cabling & Connectors,Toslink/opt Spdif Converter,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,31657,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
CS-HDEXT4KPOEU,CS-HDEXT4KPOEU,Ethereal,Network Cabling & Connectors,4K Extender Cat6 Black,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,129736,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
MHX-LHDME12,MHX-LHDME12,Ethereal,Network Cabling & Connectors,12M HDMI Cable 10.2G,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,22773,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
MHX-LHDME2,MHX-LHDME2,Ethereal,Network Cabling & Connectors,2M HDMI Cable 18G,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,23074,,,sha256-1,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
MHX-LHDME4,MHX-LHDME4,Ethereal,Network Cabling & Connectors,4M HDMI Cable 18G,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,23074,,,sha256-1,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
MHX-T15,MHX-T15,Ethereal,Network Cabling & Connectors,"MHX Series TOSLINK Digital Optical Audio Cable, 15 m",petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,296347,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
UHF-04M-S1234,UHF-04M-S1234,Gemini,Antennas & RF,UHF-04M Wireless Prof System,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,179865,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
30-495,30-495,Ideal,Telecom Tools,Mod Plug Crimp Tool,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,197758,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
31-340,31-340,Ideal,Cable Management,"Powr-Fish Heavy-Duty Pull Line, 6,500 ft",petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,81414,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
33-396,33-396,Ideal,Telecom Tools,RJ45/RJ11 Crimp Tool Kit,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,205646,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
33-507,33-507,Ideal,Network Cabling & Connectors,RJ45 Trmnation Hip Kit,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,47888,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
35-088,35-088,Ideal,Cable Management,Electr Scissors With Notch,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,188976,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
45-121,45-121,Ideal,Telecom Tools,T-Stripper Wire Stripper for 14–24 Solid and 16–26 Stranded Wire,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,223577,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
45-915,45-915,Ideal,Telecom Tools,Kinetic Reflex T-Stripper Wire Stripper,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,28245,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
62-200,62-200,Ideal,Telecom Tools,Linkmaster Ethernet,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,256650,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
85-366,85-366,Ideal,Network Cabling & Connectors,Cat6 RJ45 Plug 25/CD,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,237735,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
85-368,85-368,Ideal,Network Cabling & Connectors,25PK CAT6/5 Mod Plug,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,38495,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
85-369,85-369,Ideal,Network Cabling & Connectors,50PK CAT6/5 Mod Plug,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,39131,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
85-371,85-371,Ideal,Network Cabling & Connectors,50PK Cat5e RJ45 Plugs,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,225333,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
85-372,85-372,Ideal,Network Cabling & Connectors,100PK Cat5e RJ45 Plugs,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,225331,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
85-376,85-376,Ideal,Network Cabling & Connectors,50PK Cat6 RJ45 Plugs,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,203898,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
85-377,85-377,Ideal,Network Cabling & Connectors,100PK Cat6 RJ45 Plugs,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,200742,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
86-396,86-396,Ideal,Network Cabling & Connectors,RJ45 Mod Plug Bag Of 100,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,229381,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
89-5047,89-5047,Ideal,Network Cabling & Connectors,RG59 BNC Compression,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,236146,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
DPS-1100 USB,DPS-1100 USB,Koblenz,Network Equipment,Desk Charging Station,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,89507,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
